,Emp_Id,Age,Attrition,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Q1_Longest_Streak_OUT,Q2_Longest_Streak_OUT,Q3_Longest_Streak_OUT,Q4_Longest_Streak_OUT,Q1_Longest_Streak_IN,Q2_Longest_Streak_IN,Q3_Longest_Streak_IN,Q4_Longest_Streak_IN,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
0,1,51,0,6,2,1,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,0,2,0,0,6,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2,31,1,10,1,1,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,3,32,0,17,4,4,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,1,0,0,0,3,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
3,4,38,0,2,5,3,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,0,2,0,1,0,0,2,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
4,5,32,0,10,1,1,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
5,6,46,0,8,3,4,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,0,0,0,1,2,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
6,7,28,1,11,2,2,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
7,8,29,0,18,3,2,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,3,2,0,6,2,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
8,9,31,0,1,3,3,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,0,0,1,1,0,0,5,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
9,10,25,0,7,4,4,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,3,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
10,11,45,0,17,2,2,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
12,13,55,0,14,4,1,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,0,2,0,1,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
13,14,47,1,1,1,1,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
14,15,28,0,1,3,1,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
15,16,37,0,1,3,2,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,0,5,1,3,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
16,17,21,0,3,2,1,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,0,2,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
17,18,37,0,1,3,2,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
18,19,35,0,7,4,1,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,6,0,0,0,5,1,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
19,20,38,0,8,3,1,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
20,21,26,0,1,4,2,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
21,22,50,0,8,4,1,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,3,0,1,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
22,23,53,0,11,4,2,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,0,0,0,1,0,1,0,6,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
24,25,29,0,16,4,1,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
25,26,55,0,1,4,1,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,3,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
26,27,26,0,9,3,1,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,1,0,3,0,0,1,4,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
27,28,37,0,5,1,1,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,1,0,0,2,0,0,0,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
